"trajID";"REAL";"PoiPopularity";"PoiRank";"Markov";"MarkovPath";"Rank+Markov";"Rank+MarkovPath";"StructuredSVM";"PersTour";"PersTour-L"
2826;"1.0";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.4";"0.5"
2839;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"1.0";"1.0";"0.6666666666666666"
2846;"1.0";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.6";"0.6";"0.4";"0.4000000000000001"
2850;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.5714285714285715";"0.6666666666666666"
2852;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.4444444444444444";"0.6666666666666666"
2857;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"1.0";"1.0";"0.6666666666666666";"1.0";"0.6666666666666666"
2893;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666"
2903;"1.0";"0.375";"0.625";"0.25";"0.5";"0.375";"0.5";"0.25";"0.7000000000000001";"0.5"
2904;"1.0";"0.5714285714285714";"0.5714285714285714";"0.2857142857142857";"0.42857142857142855";"0.2857142857142857";"0.2857142857142857";"0.2857142857142857";"NA";"NA"
2905;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.5714285714285715";"0.6666666666666666"
2907;"1.0";"0.4000000000000001";"0.4000000000000001";"0.20000000000000004";"0.4000000000000001";"0.20000000000000004";"0.4000000000000001";"0.4000000000000001";"NA";"NA"
2908;"1.0";"0.5555555555555556";"0.5555555555555556";"0.3333333333333333";"0.3333333333333333";"0.3333333333333333";"0.5555555555555556";"0.2222222222222222";"NA";"NA"
2909;"1.0";"0.6666666666666666";"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"NA";"NA"
2912;"1.0";"0.75";"0.75";"0.75";"0.75";"0.75";"0.75";"0.5";"0.22222222222222224";"0.75"
2956;"1.0";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.4000000000000001";"0.6";"0.2222222222222222";"0.4000000000000001"
3002;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.4444444444444444";"0.6666666666666666"
3004;"1.0";"1.0";"0.75";"0.5";"0.5";"0.5";"0.5";"0.5";"0.28571428571428575";"0.75"
3007;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.5";"0.6666666666666666"
3017;"1.0";"0.75";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.36363636363636365";"0.5"
3034;"1.0";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.6666666666666666";"0.8571428571428571";"0.6666666666666666"
